invc_code,dispatch_revenue,ar_total,difference
1482769,3278.00,3936.83,-658.83
1482770,110.00,116.60,-6.60
1482771,385.00,408.10,-23.10
1482772,5310.52,5674.31,-363.79
1482773,240.00,395.63,-155.63
1482774,535.50,594.75,-59.25
1482775,1539.00,1871.70,-332.70
1482776,1787.50,1965.24,-177.74
1482777,10601.51,11890.65,-1289.14
1482778,5130.00,5766.15,-636.15
1482779,185.00,326.79,-141.79
1482780,3325.00,3763.54,-438.54
1482781,5362.50,6355.23,-992.73
1482782,5244.00,6004.95,-760.95
1482783,2844.00,3426.68,-582.68
1482784,5310.38,6302.22,-991.84
1482785,1394.25,1652.01,-257.76
1482786,5309.25,5817.55,-508.30
1482787,1120.00,1237.19,-117.19
1482788,2301.00,2594.36,-293.36
1482789,1593.00,1833.27,-240.27
1482790,885.00,958.55,-73.55
1482791,13022.00,14643.06,-1621.06
1482792,9369.39,9992.77,-623.38
1482793,7012.50,8675.04,-1662.54
1482794,5293.77,6552.94,-1259.17
1482795,3387.50,4199.99,-812.49
1482796,3184.25,3800.10,-615.85
1482797,5843.75,6958.90,-1115.15
1482798,7493.76,9281.27,-1787.51
1482799,4878.00,6054.72,-1176.72
1482800,1829.26,2246.04,-416.78
1482801,5024.26,5694.60,-670.34
1482802,4505.88,5101.92,-596.04
1482803,510.00,608.25,-98.25
1482804,736.00,845.57,-109.57
1482805,2520.00,2810.90,-290.90
1482806,8825.01,10254.98,-1429.97
1482807,3177.00,3461.43,-284.43
1482808,427.50,542.50,-115.00
1482809,3429.50,3818.97,-389.47
1482810,7338.75,8540.43,-1201.68
1482811,1629.25,1629.25,0.00
1482812,5148.00,5644.50,-496.50
1482813,202.50,331.56,-129.06
1482814,7475.02,9332.53,-1857.51
1482815,972.00,1178.99,-206.99
1482816,11680.00,12634.25,-954.25
1482817,2992.00,3375.58,-383.58
1482818,8370.63,9947.97,-1577.34
1482819,1567.50,1781.07,-213.57
1482820,1106.00,1798.94,-692.94
1482821,2472.00,2851.02,-379.02
1482822,2450.50,2784.09,-333.59
1482823,1560.00,1858.71,-298.71
1482824,490.50,624.08,-133.58
1482825,16159.00,17712.60,-1553.60
1482826,4119.63,4512.82,-393.19
1482827,17004.00,19087.69,-2083.69
1482828,4230.00,5250.18,-1020.18
1482829,2860.00,3388.29,-528.29
1482830,5740.63,6836.87,-1096.24
1482831,1548.50,1881.77,-333.27
1482832,652.00,797.39,-145.39
1482833,9685.00,10602.92,-917.92
1482834,1608.75,1770.47,-161.72
1482835,990.00,1128.11,-138.11
1482836,328.00,458.25,-130.25
1482837,504.00,619.31,-115.31
1482838,960.00,1147.19,-187.19
1482839,5492.38,6016.96,-524.58
1482840,7567.00,8643.73,-1076.73
1482841,1684.38,2010.69,-326.31
1482842,1358.50,1489.04,-130.54
1482843,15768.00,17055.00,-1287.00
1482844,2231.25,2619.27,-388.02
1482845,370.00,509.59,-139.59
1482846,1008.00,1102.67,-94.67
1482847,11304.00,12936.30,-1632.30
1482848,3116.00,3662.83,-546.83
1482849,2335.50,2550.36,-214.86
1482850,2756.25,3167.47,-411.22
1482851,1197.00,1319.58,-122.58
1482852,3146.00,3454.28,-308.28
1482853,7053.75,7722.10,-668.35
1482854,510.00,616.17,-106.17
1482855,716.00,823.93,-107.93
1482856,4047.00,4837.26,-790.26
1482857,10792.00,13382.72,-2590.72
1482858,340.00,433.53,-93.53
1482859,680.00,768.81,-88.81
1482860,2649.00,2864.41,-215.41
1482861,1656.00,1801.14,-145.14
1482862,1007.50,1119.75,-112.25
1482863,1306.25,1614.91,-308.66
1482864,2909.50,3669.99,-760.49
1482865,4778.13,5689.16,-911.03
1482866,2193.13,2400.51,-207.38
1482867,351.00,487.91,-136.91
1482868,1620.00,1871.52,-251.52
1482869,6707.00,7466.64,-759.64
1482870,360.00,381.60,-21.60
1482871,240.00,254.40,-14.40
1482872,3267.01,3582.55,-315.54
1482873,4617.00,4984.65,-367.65
1482874,716.00,832.41,-116.41
1482875,3078.00,3323.10,-245.10
1482876,1472.00,1588.09,-116.09
1482877,389.25,527.93,-138.68
1482878,4635.00,5400.90,-765.90
1482879,4864.00,5281.56,-417.56
1482880,1444.00,1743.33,-299.33
1482881,708.00,798.49,-90.49
1482882,2064.00,2228.74,-164.74
1482883,368.00,508.05,-140.05
1482884,187.50,335.75,-148.25
1482885,12780.00,13818.69,-1038.69
1482886,3262.00,3974.21,-712.21
1482887,1440.00,1724.18,-284.18
1482888,5505.25,5942.99,-437.74
1482889,756.00,810.11,-54.11
1482900,181.50,329.44,-147.94
1482901,514.50,620.94,-106.44
1482902,3078.00,3323.10,-245.10
1482903,178.50,310.75,-132.25
1482904,306.00,427.49,-121.49
1482905,1377.50,1612.42,-234.92
1482906,428.75,543.83,-115.08
1482907,1020.00,1104.09,-84.09
1482908,1440.00,1655.93,-215.93
1482909,1593.00,1833.27,-240.27
1482910,1714.75,1849.07,-134.32
1482911,1358.50,1652.70,-294.20
1482912,606.13,762.01,-155.88
1482913,852.50,963.75,-111.25
1482914,11232.00,12147.60,-915.60
1482915,825.00,926.75,-101.75
1482916,4716.25,5091.08,-374.83
1482917,2698.00,3390.94,-692.94
1482918,3755.50,4582.65,-827.15
1482919,7317.00,8953.29,-1636.29
1482920,1980.00,2282.06,-302.06
1482921,4873.50,5256.54,-383.04
1482922,1790.00,1790.00,0.00
1482923,1134.00,1381.45,-247.45
1482924,1358.50,1531.86,-173.36
1482925,7678.13,9497.40,-1819.27
1482926,1335.00,1575.70,-240.70
1482927,660.00,754.99,-94.99
1482928,328.00,458.25,-130.25
1482929,6581.25,7775.10,-1193.85
1482930,6320.00,8396.53,-2076.53
1482931,574.00,696.16,-122.16
1482932,1200.00,1431.80,-231.80
1482933,5492.38,6016.96,-524.58
1482934,3826.63,4193.76,-367.13
1482935,5415.00,5829.36,-414.36
1482936,3003.00,3565.58,-562.58
1482937,4800.00,5241.44,-441.44
1482938,2831.00,3098.91,-267.91
1482939,6006.00,6588.17,-582.17
1482940,1505.16,1612.96,-107.80
1482941,99.00,99.00,0.00
1482942,951.50,1065.24,-113.74
1482943,5643.00,6177.68,-534.68
1482944,3543.50,4060.66,-517.16
1482945,900.00,974.45,-74.45
1482946,1452.00,1675.07,-223.07
1482947,358.00,508.05,-150.05
1482948,706.00,843.01,-137.01
1482949,4332.00,5229.99,-897.99
1482950,591.50,711.04,-119.54
1482951,789.75,928.61,-138.86
1482952,406.13,536.28,-130.15
1482953,9135.03,9882.40,-747.37
1482954,441.25,572.98,-131.73
1482955,1695.75,1828.93,-133.18
1482956,617.75,685.00,-67.25
1482957,984.00,1065.93,-81.93
1482958,8287.50,10350.90,-2063.40
1482959,1089.00,1177.23,-88.23
1482960,552.00,679.77,-127.77
1482961,519.00,625.71,-106.71
1482962,1342.50,1449.60,-107.10
1482963,725.00,852.55,-127.55
1482964,1377.50,1521.79,-144.29
1482965,2850.00,3164.42,-314.42
1482966,15386.25,17978.40,-2592.15
1482967,425.00,539.85,-114.85
1482968,990.00,1148.61,-158.61
1482969,1248.00,1350.65,-102.65
1482970,1615.00,1743.33,-128.33
1482971,2033.00,2236.76,-203.76
1482972,10151.00,12243.79,-2092.79
1482973,10660.00,11515.95,-855.95
1482974,5130.00,5652.93,-522.93
1482975,357.00,449.25,-92.25
1482976,4323.00,4666.62,-343.62
1482977,182.00,323.61,-141.61
1482978,1835.00,2113.20,-278.20
1482979,775.00,863.25,-88.25
1482980,343.00,501.65,-158.65
1482981,3442.75,3775.19,-332.44
1482982,2087.50,2442.24,-354.74
1482983,17242.50,18177.50,-935.00
1482984,7128.00,8403.89,-1275.89
1482985,6127.50,6538.88,-411.38
1482986,3658.50,4362.17,-703.67
1482987,1581.75,1856.59,-274.84
1482988,1620.00,1900.14,-280.14
1482989,10656.26,13013.10,-2356.84
1482990,892.50,892.50,0.00
1482991,27702.00,30246.57,-2544.57
1482992,2112.50,2535.51,-423.01
1482993,29784.00,32209.50,-2425.50
1482994,325.00,455.25,-130.25
1482995,1629.00,1790.38,-161.38
1482996,734.00,835.55,-101.55
1482997,1925.00,2186.26,-261.26
1482998,892.50,1076.70,-184.20
1482999,37100.00,41537.16,-4437.16
1483000,8381.25,9890.60,-1509.35
1483001,3285.00,3707.62,-422.62
1483002,577.50,677.61,-100.11
1483003,365.00,504.24,-139.24
1483004,4574.25,5116.62,-542.37
1483005,960.00,1147.19,-187.19
1483006,3362.00,3829.00,-467.00
1483007,3259.63,3575.78,-316.15
1483008,14085.50,16697.39,-2611.89
1483009,5473.88,5997.35,-523.47
1483010,1520.00,1660.23,-140.23
1483011,168.50,289.70,-121.20
1483012,1248.75,1419.87,-171.12
1483013,6139.50,6710.60,-571.10
1483014,4189.50,4814.20,-624.70
1483015,5771.26,6219.39,-448.13
1483016,444.00,483.91,-39.91
1483017,5637.52,6714.86,-1077.34
1483018,6662.25,8257.67,-1595.42
1483019,4864.50,6041.21,-1176.71
1483020,4171.50,4565.95,-394.45
1483021,11728.25,12848.79,-1120.54
1483022,5005.00,5488.68,-483.68
1483023,770.04,824.99,-54.95
1483024,39.00,41.34,-2.34
1483025,320.00,339.20,-19.20
1483026,1685.52,1804.14,-118.62
1483027,183.50,344.28,-160.78
1483028,1092.00,1256.73,-164.73
1483029,8940.00,11262.77,-2322.77
1483030,1440.00,1724.18,-284.18
1483031,1716.00,1864.74,-148.74
1483032,2458.50,3008.28,-549.78
1483033,4515.00,5162.73,-647.73
1483034,3087.00,3554.27,-467.27
1483035,1600.00,1747.15,-147.15
1483036,2502.50,2744.34,-241.84
1483037,2358.50,2549.04,-190.54
1483038,50.00,50.00,0.00
1483039,3415.51,3744.20,-328.69
1483040,814.50,954.84,-140.34
1483041,1074.00,1205.85,-131.85
1483042,4688.25,5516.99,-828.74
1483043,1586.38,1586.38,0.00
1483044,2331.00,2814.83,-483.83
1483045,1468.00,1744.97,-276.97
1483046,8378.00,10020.49,-1642.49
1483047,2660.00,3184.56,-524.56
1483048,1445.00,1560.69,-115.69
1483049,7597.00,9011.48,-1414.48
1483050,7150.03,8416.85,-1266.82
1483051,2331.00,2725.79,-394.79
1483052,3583.50,3865.96,-282.46
1483053,182.50,343.22,-160.72
1483054,2145.00,2640.99,-495.99
1483055,2032.50,2426.34,-393.84
1483056,2612.50,3108.98,-496.48
1483057,2890.50,3589.96,-699.46
1483058,2574.00,3051.21,-477.21
1483059,2345.50,2940.44,-594.94
1483060,609.75,747.30,-137.55
1483061,8937.53,10516.93,-1579.40
1483062,2160.00,2538.57,-378.57
1483063,325.00,455.79,-130.79
1483064,40.00,42.40,-2.40
1483065,724.00,824.95,-100.95
1483066,13230.00,14511.93,-1281.93
1483067,3427.00,4195.22,-768.22
1483068,612.00,757.11,-145.11
1483069,2542.50,3062.34,-519.84
1483070,2728.50,3053.86,-325.36
1483071,862.50,1007.80,-145.30
1483072,3059.00,3494.09,-435.09
1483073,1600.00,1747.15,-147.15
1483074,5909.00,6459.64,-550.64
1483075,1183.00,1374.03,-191.03
1483076,2888.00,3244.98,-356.98
1483077,2483.00,2680.20,-197.20
1483078,328.00,480.81,-152.81
1483079,325.00,450.77,-125.77
1483080,1200.50,1297.86,-97.36
1483081,810.00,935.07,-125.07
1483082,4087.00,4573.20,-486.20
1483083,11448.00,15124.08,-3676.08
1483084,1275.00,1378.05,-103.05
1483085,1588.50,1714.02,-125.52
1483086,2463.00,3106.64,-643.64
1483087,592.00,716.83,-124.83
1483088,1268.00,1456.65,-188.65
1483089,465.00,599.25,-134.25
1483090,825.00,963.25,-138.25
1483091,4037.50,4930.33,-892.83
1483092,6256.26,7447.04,-1190.78
1483093,10381.27,12363.33,-1982.06
1483094,1322.75,1567.74,-244.99
1483095,1800.00,2042.50,-242.50
1483096,1611.00,1729.62,-118.62
1483097,59349.00,64175.25,-4826.25
1483098,3281.25,3952.75,-671.50
1483099,1800.00,2137.49,-337.49
1483100,6669.00,7627.76,-958.76
1483101,2463.75,2711.65,-247.90
1483102,676.00,803.75,-127.75
