order_date,order_code,tkt_code,order_intrnl_line_num,actl_batch_qty,cstmry_actl_batch_qty,metric_actl_batch_qty,matl_price,cstmry_matl_price,metric_matl_price,haul_price,cstmry_haul_price,metric_haul_price,delv_price,cstmry_delv_price,metric_delv_price,cost,cost_uom,cstmry_cost,metric_cost,cost_ext_code,ext_matl_cost_amt,delv_qty,cstmry_delv_qty,metric_delv_qty,delv_qty_uom,cstmry_delv_qty_uom,metric_delv_qty_uom,orig_delv_qty,cstmry_orig_delv_qty,metric_orig_delv_qty,order_delv_qty,cstmry_order_delv_qty,metric_order_delv_qty,dump_qty,cstmry_dump_qty,metric_dump_qty,pre_batched_qty,cstmry_pre_batched_qty,metric_pre_batched_qty,resold_qty,cstmry_resold_qty,metric_resold_qty,price_qty,cstmry_price_qty,metric_price_qty,tkt_qty,cstmry_tkt_qty,metric_tkt_qty,resold_tkt_code,rm_slump,rm_slump_uom,rm_mix_flag,ext_price_amt,ship_plant_code,susp_rsn_code,invy_adjust_code,sales_anl_adjust_code,moved_order_date,moved_to_order_code,moved_from_order_code,reused_order_date,reused_order_code,batch_code,am_min_temp,invc_round_diff_amt,chrg_cart_code,ext_matl_price,ext_haul_price,ext_delv_price,inventory_update_qty,temperature,temperature_uom,energy_consumed,energy_consumed_uom,pct_hydrate,record_origin_code,pre_batched_water_qty,pre_batched_water_uom,pre_batched_uom,order_num,version,seq_num,external_plant_code,dump_water_qty,ext_pay_cart_amt,pay_cart_qty,pay_cart_qty_uom,pay_cart_rate_amt,min_slump,max_slump,update_date,u_version,lot_num_list
2025-01-02 00:00:00,          24,  137306,3,9.50,9.50,7.26,,,,,,,,,,,,,,,,9.50,9.50,7.26,40003,40003,40013,9.50,9.50,7.26,28.50,28.50,21.79,,,,,,,,,,9.50,9.50,7.26,9.50,9.50,7.26,,4       ,,True,1296.75,  1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,2025-01-02 10:40:35.250000,!,
2025-01-02 00:00:00,          24,  137307,3,9.25,9.25,7.07,,,,,,,,,,,,,,,,9.25,9.25,7.07,40003,40003,40013,9.25,9.25,7.07,37.75,37.75,28.86,,,,,,,,,,9.25,9.25,7.07,9.25,9.25,7.07,,4       ,,True,1262.63,  1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,2025-01-02 10:47:37.700000,!,
2025-01-02 00:00:00,          24,  137308,3,9.25,9.25,7.07,,,,,,,,,,,,,,,,9.25,9.25,7.07,40003,40003,40013,9.25,9.25,7.07,47.00,47.00,35.93,,,,,,,,,,9.25,9.25,7.07,9.25,9.25,7.07,,4       ,,True,1262.63,  1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,2025-01-02 10:51:21.030000,!,
2025-01-02 00:00:00,          26,  137311,1,3.50,3.50,2.68,,,,,,,,,,,,,,,,3.50,3.50,2.68,40003,40003,40013,3.50,3.50,2.68,3.50,3.50,2.68,,,,,,,,,,3.50,3.50,2.68,3.50,3.50,2.68,,    4.00,,True,600.25,  1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,2025-01-02 13:46:43.970000,!,
2025-01-02 00:00:00,          30,  137309,69,9.50,9.50,7.26,,,,,,,,,,,,,,,,9.50,9.50,7.26,40003,40003,40013,9.50,9.50,7.26,9.50,9.50,7.26,,,,,,,,,,9.50,9.50,7.26,9.50,9.50,7.26,,4       ,,True,1391.75,  1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,2025-01-02 11:28:51.120000,!,
2025-01-02 00:00:00,          30,  137310,69,6.00,6.00,4.59,,,,,,,,,,,,,,,,6.00,6.00,4.59,40003,40003,40013,6.00,6.00,4.59,15.50,15.50,11.85,,,,,,,,,,6.00,6.00,4.59,6.00,6.00,4.59,,4       ,,True,879.00,  1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,2025-01-02 13:16:25.610000,!,
2025-01-02 00:00:00,          40,  137303,1,6.50,6.50,4.97,,,,,,,,,,,,,,,,6.50,6.50,4.97,40003,40003,40013,6.50,6.50,4.97,6.50,6.50,4.97,,,,,,,,,,6.50,6.50,4.97,6.50,6.50,4.97,,4       ,,True,1105.00,  1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,2025-01-02 09:23:30.910000,!,
2025-01-03 00:00:00,          30,  137319,1,8.50,8.50,6.50,,,,,,,,,,,,,,,,8.50,8.50,6.50,40003,40003,40013,8.50,8.50,6.50,8.50,8.50,6.50,,,,,,,,,,8.50,8.50,6.50,8.50,8.50,6.50,,    4.00,,True,1517.25,  1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,2025-01-03 08:55:38.960000,!,
2025-01-03 00:00:00,          30,  137321,1,8.50,8.50,6.50,,,,,,,,,,,,,,,,8.50,8.50,6.50,40003,40003,40013,8.50,8.50,6.50,17.00,17.00,13.00,,,,,,,,,,8.50,8.50,6.50,8.50,8.50,6.50,,    4.00,,True,1517.25,  1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,2025-01-03 09:18:33.130000,!,
2025-01-03 00:00:00,          37,  137315,1,3.50,3.50,2.68,,,,,,,,,,,,,,,,3.50,3.50,2.68,40003,40003,40013,3.50,3.50,2.68,3.50,3.50,2.68,,,,,,,,,,3.50,3.50,2.68,3.50,3.50,2.68,,4       ,,True,626.50,  1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,2025-01-03 07:26:16,!,
